tau,NRZT
45, 2.8000028000028E-5
46, 3.7000037000037E-5
47, 3.4000034000034E-5
48, 4.1000041000041E-5
49, 3.3000033000033E-5
50, 3.2000032000032E-5
51, 2.9000029000029E-5
52, 3.1000031000031E-5
53, 3.5000035000035E-5
54, 2.5000025000025E-5
55, 2.6000026000026E-5
56, 3.000003000003E-5
57, 2.5000025000025E-5
58, 3.2000032000032E-5
59, 2.8000028000028E-5
60, 3.1000031000031E-5
61, 2.7000027000027E-5
62, 2.8000028000028E-5
63, 3.6000036000036E-5
64, 2.8000028000028E-5
65, 2.7000027000027E-5
66, 3.5000035000035E-5
67, 2.9000029000029E-5
68, 2.5000025000025E-5
69, 2.9000029000029E-5
70, 2.7000027000027E-5
71, 2.3000023000023E-5
72, 3.000003000003E-5
73, 3.000003000003E-5
74, 3.000003000003E-5
75, 2.9000029000029E-5
