tau,RZ
45, 0.06937306937306938
46, 0.06905906905906906
47, 0.06924806924806924
48, 0.06931506931506931
49, 0.06935106935106936
50, 0.06932706932706932
51, 0.06947906947906948
52, 0.06907606907606907
53, 0.06911906911906912
54, 0.06937706937706938
55, 0.0694110694110694
56, 0.06968406968406968
57, 0.06956006956006956
58, 0.0694890694890695
59, 0.06943406943406943
60, 0.0693980693980694
61, 0.06938706938706939
62, 0.06947606947606948
63, 0.06978906978906979
64, 0.06968306968306968
65, 0.06943806943806943
66, 0.06944006944006945
67, 0.06923406923406923
68, 0.06935406935406935
69, 0.06922906922906923
70, 0.0692920692920693
71, 0.06923106923106923
72, 0.06933506933506933
73, 0.06903306903306904
74, 0.068998068998069
75, 0.06893506893506894
